227,Moderna COVID-19 Vaccine (Inactive),
"",Moderna COVID-19 Vaccine (Inactive,
228,"Moderna COVID-19 Vaccine (Preferable age range: >=6 months to < 6 years)",
Moderna COVID-19 Vaccine (Preferable age range: >,,
6 months to < 6 years,,
"COVID-19, mRNA, LNP-S, PF 30 mcg/0.3 mL (Pfizer)"
"COVID-19, mRNA, LNP-S, PF 30 mcg/0.3 mL (Pfizer"
"COVID-19 vaccine, vector-nr, rS-ChAdOx1, PF, 0.5 mL(AstraZeneca)"
"COVID-19 vaccine, vector-nr, rS-ChAdOx1, PF, 0.5 mL"
"(AstraZeneca"
"COVID-19 vaccine, Subunit, rS-nanoparticle+Matrix-M1Adjuvant, PF, 0.5 mL (Novavax)"
"COVID-19 vaccine, Subunit, rS-nanoparticle+Matrix-M"
"Adjuvant, PF, 0.5 mL (Novavax"
"COVID-19 vaccine, vector-nr, rS-Ad26, PF, 0.5 mL(Janssen)"
"COVID-19 vaccine, vector-nr, rS-Ad26, PF, 0.5 mL"
"(Janssen)"
"COVID-19 vaccine, UNSPECIFIED"
"COVID-19 vaccine, UNSPECIFIED"
"COVID-19, mRNA, LNP-S, PF, 30 mcg/0.3 mL dose,tris-sucrose (Pfizer)"
"COVID-19, mRNA, LNP-S, PF, 30 mcg/0.3 mL dose,"
tris-sucrose (Pfizer
"COVID-19, mRNA, LNP-S, PF, 10 mcg/0.2 mL dose,tris-sucrose (Pfizer)"
"COVID-19, mRNA, LNP-S, PF, 10 mcg/0.2 mL dose,"
tris-sucrose (Pfizer
"Pfizer COVID-19 Vaccine (Preferable age range: >= 6months to < 5 years)"
Pfizer COVID-19 Vaccine (Preferable age range: >= 6
months to < 5 years
"Moderna COVID-19 Vaccine (Preferable age ranges:>= 6 years to < 12 years OR >= 18 years)"
Moderna COVID-19 Vaccine (Preferable age ranges
">= 6 years to < 12 years OR >= 18 years)"
Moderna COVID-19 Vaccine (Inactive)
Moderna COVID-19 Vaccine (Inactive
CVX Code,Name
229,"Moderna COVID-19 Vaccine, Bivalent Booster"
"",(Preferable Age Range: > 6 years and < 12 years
"",(0.25mL dose); >= 12 years (0.5mL dose))
300,"Pfizer COVID-19 Vaccine, Bivalent Booster"
"",(Preferable Age Range: >= 12 years)
301,"Pfizer COVID-19 Vaccine, Bivalent Booster"
"",(Preferable Age Range: > 5 years and <= 12 years)
308,"COVID-19, XBB.1.5, mRNA, LNP-S, PF, tris-sucrose, 6"
"","mos-4 yrs, Pfizer"
309,"COVID-19, XBB.1.5, mRNA, LNP-S, PF, tris-sucrose,"
"","12+ yrs, Pfizer"
310,"COVID-19, XBB.1.5, mRNA, LNP-S, PF, tris-sucrose,"
"","5-11 yrs, Pfizer"
311,"COVID-19, XBB.1.5, mRNA, LNP-S, PF, 6 mos-11 yrs,"
"",Moderna
312,"COVID-19, XBB.1.5, mRNA, LNP-S, PF, 12+ yrs,"
"",Moderna
313,"COVID-19, XBB.1.5, subunit, rS-nanoparticle,"
"","adjuvanted, PF, 12+ yrs, Novavax"
500,"COVID-19 Non-US Vaccine, Product Unknown"
501,COVID-19 IV Non-US Vaccine (QAZCOVID-IN)
502,COVID-19 IV Non-US Vaccine (COVAXIN)
503,COVID-19 LAV Non-US Vaccine (COVIVAC)
504,COVID-19 VVnr Non-US Vaccine (Sputnik Light)
505,COVID-19 VVnr Non-US Vaccine (Sputnik V)
506,COVID-19 VVnr Non-US Vaccine (CanSino Biological
"",Inc./Beijing Institute of Biotechnology)
507,COVID-19 PS Non-US Vaccine (Anhui Zhifei Longcom
"","Biopharm + Inst of Micro, Chinese Acad of Sciences)"
508,COVID-19 PS Non-US Vaccine (Jiangsu Province
"",Centers for Disease Control and Prevention)
509,COVID-19 PS Non-US Vaccine (EpiVacCorona)
CVX Code,Name
510,"COVID-19 IV Non-US Vaccine (BIBP, Sinopharm)"
511,"COVID-19 IV Non-US Vaccine (CoronaVac, Sinovac)"
512,"COVID-19 VLP Non-US Vaccine (Medicago, Covifenz)"
513,"COVID-19 PS Non-US Vaccine (Anhui Zhifei Longcom,"
"",Zifivax)
514,"COVID-19 DNA Non-US Vaccine (Zydus Cadila,"
"",ZyCoV-D)
515,"COVID-19 PS Non-US Vaccine (Medigen,"
"",MVC-COV1901)
516,COVID-19 Inactivated Non-US Vaccine (Minhai
"","Biotechnology Co, KCONVAC)"
517,"COVID-19 PS Non-US Vaccine (Biological E Limited,"
"",Corbevax)
518,"COVID-19 Inactivated, Non-US Vaccine (VLA2001,"
"",Valneva)
519,"COVID-19 mRNA, bivalent, original/Omicron BA.1,"
"","Non-US Vaccine (Spikevax Bivalent), Moderna"
520,"COVID-19 mRNA, bivalent, original/Omicron BA.1,"
"","Non-US Vaccine Product, Pfizer-BioNTech"
521,"COVID-19 SP, protein-based, adjuvanted (VidPrevtyn"
"","Beta), Sanofi-GSK"
CVX Code,Name
75,vaccinia (smallpox) vaccine (ACAM2000)
105,"vaccinia (smallpox) vaccine, diluted (Inactive; not"
"",preferred)
CVX Code,Name,
206,,"Vaccinia, smallpox monkeypox vaccine live, PF"
"(JYNNEOS",,
